"HABITAT_FIELD_DATA_HISTORY_ID","EVENT_SMAS_ID","SITE_ID","BASIN","LOCATION","RIVMILE","COLL_DATE","COLL_DATE.1","HFDH_GRADIENT","HFDH_EPIFAUNAL_COVER","HFDH_EMBEDDEDNESS_POOLING","HFDH_VELOCITY_DEPTH_REGIME","HFDH_SEDIMENT_DEPOSITION","HFDH_FLOW_STATUS","HFDH_CHANNEL_ALTERATION","HFDH_RIFFLE_BEND_FREQUENCY","HFDH_LEFT_BANK_STABILITY","HFDH_RIGHT_BANK_STABILITY","HFDH_LEFT_BANK_VEG","HFDH_RIGHT_BANK_VEG","HFDH_LEFT_BANK_VEG_ZONE","HFDH_RIGHT_BANK_VEG_ZONE","HFDH_HABITAT_COMMENT","CREATE_DATE","END_DATE","UPDATE_DATE","UPDATED_BY_GUID"
37,"13-WALK-19.0_20080715","13-WALK-19.0",13,"WALK",19,"2008-07-15","07/15/2008","Low",9,18,14,12,18,19,6,9,9,7,9,4,10,"",NA,NA,NA,NA
38,"13-WALK-22.8_20080715","13-WALK-22.8",13,"WALK",22.8,"2008-07-15","07/15/2008","High",10,11,15,18,19,13,19,9,9,9,10,7,5,"",NA,NA,NA,NA
40,"13-WALK-35.6_20080715","13-WALK-35.6",13,"WALK",35.6,"2008-07-15","07/15/2008","High",10,11,12,12,16,14,18,9,8,9,NA,9,7,"",NA,NA,NA,NA
43,"13-WALK-60.1_20080715","13-WALK-60.1",13,"WALK",60.1,"2008-07-15","07/15/2008","Low",9,8,13,NA,18,15,9,9,8,10,9,4,3,"",NA,NA,NA,NA
49,"13-QKER-0.9_20080716","13-QKER-0.9",13,"QKER",0.9,"2008-07-16","07/16/2008","Low",1,13,7,2,15,14,NA,7,7,7,7,3,3,"",NA,NA,NA,NA
1295,"13-MASO-0.2_20120908","13-MASO-0.2",13,"MASO",0.2,"2012-09-08","09/08/2012","High",12,10,11,10,11,10,12,7,6,7,6,7,5,"",NA,NA,NA,NA
1297,"13-MONH-0.4_20120908","13-MONH-0.4",13,"MONH",0.4,"2012-09-08","09/08/2012","High",17,15,15,13,15,13,15,6,7,5,5,5,4,"",NA,NA,NA,NA
1299,"13-QKER-0.9_20120908","13-QKER-0.9",13,"QKER",0.9,"2012-09-08","09/08/2012","High",12,11,11,10,13,12,8,6,6,7,7,5,5,"",NA,NA,NA,NA
1302,"13-RIOG-0.7_20120908","13-RIOG-0.7",13,"RIOG",0.7,"2012-09-08","09/08/2012","High",14,10,11,10,14,10,8,8,8,8,8,8,6,"",NA,NA,NA,NA
1362,"13-RUTG-1.5_20120913","13-RUTG-1.5",13,"RUTG",1.5,"2012-09-13","09/13/2012","High",13,4,14,13,10,6,7,2,2,3,3,6,4,"",NA,NA,NA,NA
2221,"13-MONH-4.1_20170726","13-MONH-4.1",13,"MONH",4.1,"2017-07-26","07/26/2017","High",10,11,10,13,14,15,15,9,7,8,4,8,2,"",NA,NA,NA,NA
2242,"13-MONH-0.4_20170802","13-MONH-0.4",13,"MONH",0.4,"2017-08-02","08/02/2017","High",17,17,17,10,18,16,17,8,7,7,7,5,3,"",NA,NA,NA,NA
2243,"13-QKER-0.9_20170802","13-QKER-0.9",13,"QKER",0.9,"2017-08-02","08/02/2017","High",13,3,9,3,18,12,5,8,8,7,7,3,4,"",NA,NA,NA,NA
2244,"13-WALK-35.6_20170802","13-WALK-35.6",13,"WALK",35.6,"2017-08-02","08/02/2017","High",10,14,13,14,18,13,5,6,5,6,6,5,5,"",NA,NA,NA,NA
2245,"13-WALK-46.6_20170802","13-WALK-46.6",13,"WALK",46.6,"2017-08-02","08/02/2017","High",14,14,17,10,18,10,5,7,4,7,5,8,6,"",NA,NA,NA,NA
2246,"13-WCHEE-0.6_20170802","13-WCHEE-0.6",13,"WCHEE",0.6,"2017-08-02","08/02/2017","High",10,8,8,8,18,14,5,6,6,8,8,4,4,"",NA,NA,NA,NA
2247,"13-GUNK-0.4_20170803","13-GUNK-0.4",13,"GUNK",0.4,"2017-08-03","08/03/2017","High",20,20,19,16,20,20,20,9,10,9,9,6,7,"",NA,NA,NA,NA
2248,"13-WALK-19.0_20170803","13-WALK-19.0",13,"WALK",19,"2017-08-03","08/03/2017","High",17,15,17,12,20,16,18,9,10,9,9,7,7,"High, fast flows",NA,NA,NA,NA
2249,"13-WALK-22.8_20170803","13-WALK-22.8",13,"WALK",22.8,"2017-08-03","08/03/2017","High",16,18,18,19,20,16,18,9,9,9,9,7,7,"High water, high flow",NA,NA,NA,NA
2250,"13-WALK-26.9_20170803","13-WALK-26.9",13,"WALK",26.9,"2017-08-03","08/03/2017","High",17,19,19,19,20,17,16,9,7,9,7,9,5,"High flows, sewage smell",NA,NA,NA,NA
2251,"13-WALK-29.9_20170803","13-WALK-29.9",13,"WALK",29.9,"2017-08-03","08/03/2017","High",11,18,17,18,20,19,16,9,9,10,10,9,8,"",NA,NA,NA,NA
2252,"13-WKLEI-0.6_20170803","13-WKLEI-0.6",13,"WKLEI",0.6,"2017-08-03","08/03/2017","High",9,4,10,5,14,18,5,10,6,8,6,6,10,"",NA,NA,NA,NA
2295,"13-WALK-2.1_20170824","13-WALK-2.1",13,"WALK",2.1,"2017-08-24","08/24/2017","Low",15,13,11,11,17,15,14,9,8,8,6,10,1,"",NA,NA,NA,NA
2296,"13-WALK-60.1_20170824","13-WALK-60.1",13,"WALK",60.1,"2017-08-24","08/24/2017","Low",12,8,8,5,10,7,2,8,4,7,5,7,6,"Slow long pool with lily pad and some snags",NA,NA,NA,NA
2529,"13-DWAR-2.0_20180827","13-DWAR-2.0",13,"DWAR",2,"2018-08-27","08/27/2018","High",17,17,15,17,17,18,17,9,8,7,7,7,6,"",NA,NA,NA,NA
2530,"13-GUNK-0.4_20180827","13-GUNK-0.4",13,"GUNK",0.4,"2018-08-27","08/27/2018","High",18,11,19,15,17,15,18,9,7,9,5,8,4,"",NA,NA,NA,NA
2531,"13-GUNK-37.7_20180827","13-GUNK-37.7",13,"GUNK",37.7,"2018-08-27","08/27/2018","High",11,15,10,NA,19,8,9,7,7,5,4,5,5,"",NA,NA,NA,NA
2532,"13-GUNK-40.3_20180827","13-GUNK-40.3",13,"GUNK",40.3,"2018-08-27","08/27/2018","High",10,15,2,6,18,17,0,9,7,7,8,6,9,"",NA,NA,NA,NA
2533,"13-GUNK_T35-0.2_20180827","13-GUNK_T35-0.2",13,"GUNK_T35",0.2,"2018-08-27","08/27/2018","High",15,11,10,16,19,16,13,9,9,4,10,5,10,"",NA,NA,NA,NA
2534,"13-LGUN-6.0_20180827","13-LGUN-6.0",13,"LGUN",6,"2018-08-27","08/27/2018","High",9,20,10,11,19,19,13,7,9,4,NA,9,NA,"",NA,NA,NA,NA
2535,"13-MASO-0.2_20180827","13-MASO-0.2",13,"MASO",0.2,"2018-08-27","08/27/2018","High",17,18,14,17,17,17,16,7,7,6,6,2,2,"",NA,NA,NA,NA
2536,"13-MONH-0.4_20180827","13-MONH-0.4",13,"MONH",0.4,"2018-08-27","08/27/2018","High",15,14,13,15,19,16,14,6,7,8,5,7,6,"",NA,NA,NA,NA
2537,"13-MONH-4.1_20180827","13-MONH-4.1",13,"MONH",4.1,"2018-08-27","08/27/2018","High",NA,13,10,16,17,17,18,6,7,8,2,9,3,"",NA,NA,NA,NA
2538,"13-PKIL-0.4_20180827","13-PKIL-0.4",13,"PKIL",0.4,"2018-08-27","08/27/2018","High",15,17,13,14,11,14,14,5,5,8,4,7,3,"",NA,NA,NA,NA
2539,"13-SWAK-1.7_20180827","13-SWAK-1.7",13,"SWAK",1.7,"2018-08-27","08/27/2018","High",11,14,14,17,14,16,17,8,8,7,7,8,8,"",NA,NA,NA,NA
2540,"13-TINW-0.5_20180827","13-TINW-0.5",13,"TINW",0.5,"2018-08-27","08/27/2018","High",12,16,10,11,18,15,10,5,7,7,8,9,9,"",NA,NA,NA,NA
2541,"13-WALK-19.0_20180827","13-WALK-19.0",13,"WALK",19,"2018-08-27","08/27/2018","High",15,19,13,10,17,11,13,8,8,5,5,5,2,"",NA,NA,NA,NA
2542,"13-WALK-22.8_20180827","13-WALK-22.8",13,"WALK",22.8,"2018-08-27","08/27/2018","High",14,14,11,13,20,12,13,8,9,5,6,3,5,"",NA,NA,NA,NA
2543,"13-WALK-26.9_20180827","13-WALK-26.9",13,"WALK",26.9,"2018-08-27","08/27/2018","High",NA,12,15,16,19,20,6,9,9,8,3,9,1,"",NA,NA,NA,NA
2544,"13-WALK-29.9_20180827","13-WALK-29.9",13,"WALK",29.9,"2018-08-27","08/27/2018","High",11,16,10,18,20,19,8,7,7,10,7,10,4,"",NA,NA,NA,NA
2545,"13-WALK-35.6_20180827","13-WALK-35.6",13,"WALK",35.6,"2018-08-27","08/27/2018","Low",11,12,18,17,19,19,9,9,7,8,6,9,6,"",NA,NA,NA,NA
2546,"13-WALK-44.4_20180827","13-WALK-44.4",13,"WALK",44.4,"2018-08-27","08/27/2018","High",15,14,8,16,20,14,15,8,6,5,6,5,6,"",NA,NA,NA,NA
2547,"13-WKLEI-0.6_20180827","13-WKLEI-0.6",13,"WKLEI",0.6,"2018-08-27","08/27/2018","Low",5,5,5,6,12,15,7,2,2,9,8,9,6,"",NA,NA,NA,NA
2548,"13-POCH-1.8_20180828","13-POCH-1.8",13,"POCH",1.8,"2018-08-28","08/28/2018","High",13,11,5,12,20,15,5,8,6,4,4,3,5,"",NA,NA,NA,NA
2549,"13-QKER-0.9_20180828","13-QKER-0.9",13,"QKER",0.9,"2018-08-28","08/28/2018","Low",5,5,4,10,15,10,13,8,8,7,7,4,4,"",NA,NA,NA,NA
2550,"13-RIOG-0.7_20180828","13-RIOG-0.7",13,"RIOG",0.7,"2018-08-28","08/28/2018","Low",17,NA,14,15,15,16,13,6,6,6,6,4,4,"",NA,NA,NA,NA
2551,"13-RUTG-1.5_20180828","13-RUTG-1.5",13,"RUTG",1.5,"2018-08-28","08/28/2018","High",15,17,15,16,20,13,13,4,8,4,8,5,7,"",NA,NA,NA,NA
2552,"13-WALK-46.6_20180828","13-WALK-46.6",13,"WALK",46.6,"2018-08-28","08/28/2018","High",13,NA,NA,5,15,13,10,7,7,NA,8,7,8,"",NA,NA,NA,NA
2553,"13-WCHEE-0.6_20180828","13-WCHEE-0.6",13,"WCHEE",0.6,"2018-08-28","08/28/2018","High",11,17,13,13,19,17,14,9,7,5,4,6,4,"",NA,NA,NA,NA
2563,"13-WALK-44.4_20180906","13-WALK-44.4",13,"WALK",44.4,"2018-09-06","09/06/2018","High",13,13,11,14,19,14,13,8,8,5,6,5,7,"",NA,NA,NA,NA
2733,"13-PKIL-0.4_20190808","13-PKIL-0.4",13,"PKIL",0.4,"2019-08-08","08/08/2019","High",14,11,15,15,20,15,18,6,5,8,8,NA,4,"",NA,NA,NA,NA
2734,"13-POCH-1.8_20190808","13-POCH-1.8",13,"POCH",1.8,"2019-08-08","08/08/2019","High",10,18,10,16,12,12,5,5,6,8,2,5,1,"",NA,NA,NA,NA
2735,"13-RUTG-1.5_20190808","13-RUTG-1.5",13,"RUTG",1.5,"2019-08-08","08/08/2019","High",16,13,15,12,13,18,16,2,7,9,9,3,10,"",NA,NA,NA,NA
2736,"13-SWAK-1.7_20190808","13-SWAK-1.7",13,"SWAK",1.7,"2019-08-08","08/08/2019","High",15,17,18,18,20,18,20,10,10,9,9,10,7,"",NA,NA,NA,NA
2737,"13-TINW-0.5_20190808","13-TINW-0.5",13,"TINW",0.5,"2019-08-08","08/08/2019","High",9,9,12,4,16,18,12,5,8,6,6,4,10,"",NA,NA,NA,NA
2738,"13-DWAR-2.0_20190814","13-DWAR-2.0",13,"DWAR",2,"2019-08-14","08/14/2019","High",10,20,14,15,14,19,13,9,6,9,9,5,5,"",NA,NA,NA,NA
